Lake_Name_Standardized,Date,Station name,Station code,water_bodies,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Source_File,Nitrate,COD,Free Ammonia  (mg/L),P/R Ratio,Total Phosphate (mg/L),Ortho Phosphate (mg/L),Any Other,Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe),% Sodium,Unnamed: 36,Unnamed: 37,Free Ammonia,Ammonia  (mg/L),Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,COD (mg/L).1,Sodium %,Faecal streptococci,Fecal streptococci,Unnamed: 38,District,RO,Total coliform (MPN/100ml),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Ammonia,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Conductivity (Î¼s/cm),Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,Unnamed: 58,Classes,Remarks,Unnamed: 48
Osman Sagar (Gandipet),October 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.6,7.8,405.0,2.2,,Not Analysed,Less than 2,20,Not analysed,Not analysed,4.0,Less than 1,125.0,36,8.0,Less than 1,,136.0,24.0,18.47,18.0,26.0,260.0,Not aNot analysedlysed,4.0,,Less than 0.01,2.0,Less than 0.01,,0.97,22.csv,0.0,,,Not analysed,Less than 0.01,Not analysed,,,,,,,,,,,,28.83,,,,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,October 2019,Himayathsagar lake,1789,Lakes & Tanks ,4.6,7.63,424.0,3,,Less than .01,8,79,,,12.0,Less than 1,136.0,39,24.0,Less than 1,,276.0,45.0,40.0,17.0,28.0,260.0,150,12.0,,Less than 0.01,6.0,Less than 0.01,,0.73,22.csv,6.0,,,,Less than 0.01,Not analysed,,,,,,,,,,,,17.5,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,October 2019,Hussain sagar Lake,1391,Lakes & Tanks ,Less than 0.1,7.24,1080.0,20,,Less than 0.01,350,Less than 1600,,,32.0,Less than 1,248.0,110,85.0,52,,316.0,102.0,15.0,72.0,90.0,637.0,438,23.0,,Less than 0.01,15.0,Less than 0.01,,2.2,22.csv,12.0,,,,0.8,-,,,,,,,,,,,,36.75,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),November 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.4,7.65,356.0,3.0,,Not Analysed,Less than 2,20,,,4.0,Less than 1,120.0,34.0,8.0,Less than 1,,140.0,30.0,15.79,16.0,20.0,220.0,Not aNot analysedlysed,4.0,,Less than 0.01,2.0,Less than 0.01,23.27,0.73,23.csv,0.4,,,,Less than 0.01,Not analysed,,,,,,,,,,,,,,,,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,November 2019,Himayathsagar lake,1789,Lakes & Tanks ,4.4,7.9,420.0,4.0,,BDL,8,80,,,10.0,BDL,152.0,34.0,29.0,bdl,,136.0,21.0,20.0,15.0,39.0,311.0,207,25.0,,BDL,7.0,0.2,36.93,1.45,23.csv,5.0,,BDL,,BDL,-,,,,,,,,,,,,,,,,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,November 2019,Hussain sagar Lake,1391,Lakes & Tanks ,NIL,7.34,1231.0,25.0,,BDL,350,Greater than 1600,,,34.0,BDL,376.0,132.0,147.0,36,,316.0,84.0,26.0,69.0,94.0,767.0,592,50.0,,BDL,17.0,BDL,37.53,2.29,23.csv,10.0,,0.14,,1.02,-,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),December 2019,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.8,7.96,420.0,2.3,,Not Analysed,Less than 2,14,,,8.0,Less than 1,133.0,46.0,12.0,Less than 1,,150.0,30.0,18.22,18.0,29.0,260.0,Not Analysed,8.0,,Less than 0.01,2.0,Less than 0.01,29.11,1.03,24.csv,Less than 0.1,,,,Less than 0.01,Not Analysed,,,,,,,,,,,,,,,,Not Analysed,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,December 2019,Himayathsagar lake,1789,Lakes & Tanks ,5.8,8.18,411.0,3.0,,Less than 0.01,33,440,,,8.0,Less than 1,138.0,42.0,30.0,Less than 1,,212.0,26.0,36.0,14.0,28.0,292.0,198,18.0,,Less than 0.01,8.0,0.13,21.27,0.83,24.csv,4,,Less than 0.01,,Less than 0.01,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,December 2019,Hussain sagar Lake,1391,Lakes & Tanks ,Less than 0.1,7.44,1279.0,23.0,,Less than 0.01,920,Greater than  1600,,,27.0,Less than 1,402.0,144.0,87.0,30,,352.0,82.0,36.0,62.0,108.0,844.0,562,68.0,,Less than 0.01,21.0,Less than 0.01,108.0,2.49,24.csv,13,,0.1,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),January 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.6,7.96,446.0,2.1,,Not Analysed,Less than 2,11,,,8.0,Less than 1,145.0,42.0,10.0,Less than 1,,160.0,34.0,18.22,20.0,30.0,280.0,,8,,Less than 0.01,2.0,0.72,,1.03,25.csv,BDL,,,,Less than 0.01,Not Analysed,,,,,,,,,,,,,,,,Not Analysed,,,,,,,,,28.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,January 2020,Himayathsagar lake,1789,Lakes & Tanks ,4.8,8.25,444.0,3.0,,Less than 0.01,8,33,,,8.0,Less than 1,142.0,57.0,28.0,Less than 1,,172.0,22.0,28.0,7.0,22.0,257.0,212.0,Less than  5,,Less than 0.01,8.0,1.13,,0.73,25.csv,2,,Less than 0.01,,0.0,Not Analysed,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,January 2020,Hussain sagar Lake,1391,Lakes & Tanks ,1,8.16,1389.0,26.0,,Not Analysed,540,Greater than 1600,,,34.0,Less than 1,504.0,158.0,124.0,56,,360.0,53.0,34.0,53.0,116.0,770.0,611.0,53,,Less than 0.01,23.0,1.16,,3.05,25.csv,16,,1.1,,0.5,Not Analysed,,,,,,,,,,,,,,,,22,,,,,,,,,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),February 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.6,7.81,432.0,2.1,,Not Analysed,Less than 2,14,,,6.0,Less than 1,145.0,38.0,8.0,Less than 1,,158.0,35.2,17.01,20.0,28.0,280.0,,6,,Less than 0.01,2.0,Less than 0.01,,0.97,26.csv,Less than 0.01,,Not Analysed,,Less than 0.01,Not Analysed,,,,,,,,,,,,,,,,Not Analysed,,,,,,,,,27.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,February 2020,Himayathsagar lake,1789,Lakes & Tanks ,4.3,8.01,432.0,3.0,,,Less than 2,154,,,9.0,Less than  1,154.0,52.0,29.0,Less than  1,,186.0,36.0,23.0,9.0,25.0,253.0,208.0,Less than  5,,Less than 0.01,7.0,1.08,,0.8,26.csv,1.8,,Less than  1,,0.0,Not Analysed,,,,,,,,,,,,,,,,Less than  1,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,February 2020,Hussain sagar Lake,1391,Lakes & Tanks ,2,7.72,1468.0,10.0,,Not Analysed,22,350,,,18.0,Less than 1,345.0,188.0,78.0,2.2,,380.0,84.0,41.31,108.0,158.0,894.0,,12,,0.2,4.0,0.8,,3.51,26.csv,4.6,,Not Analysed,,2,Not Analysed,,,,,,,,,,,,,,,,Not Analysed,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),March 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.5,7.81,546.0,2.5,,,Less than  2,18.0,,,10.0,Less than  1,40.0,63.0,32.0,Less than  1,,165.0,38.0,17.0,32.0,24.0,320.0,,6.0,,Less than  0.01,4.0,NIL,,0.6,27.csv,0.1,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,March 2020,Himayathsagar lake,1789,Lakes & Tanks ,4.3,7.68,494.0,2.5,,,Less than 2,14.0,,,14.0,Less than 1,180.0,48.0,12.0,Less than 1,,380.0,56.0,18.0,14.0,38.0,306.0,,8.0,,Less than 0.01,6.0,Less than 0.01,,1.9,27.csv,1.86,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,March 2020,Hussain sagar Lake,1391,Lakes & Tanks ,4.8,7.25,1566.0,22.0,,,350,920.0,,,28.0,Less than 1,475.0,202.0,80.0,4.8,,430.0,112.0,36.45,78.0,186.0,976.0,,26.0,,0.3,8.0,0.88,,3.6,27.csv,51.0,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),April 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.8,7.45,611.0,3.0,,,Less than  2,130,,,130.0,Less than  1,215.0,78.0,28.0,Less than 1,,320.0,100.0,17.0,20.0,22.0,381.0,,75.0,,Less than  0.01,10.6,1.09,,1.1,28.csv,1.7,,Less than 0.01,,0.24,,,,,,,,,,,,,,,,,Less than 1,BDL,BDL,BDL,BDL,ND,ND,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,April 2020,Himayathsagar lake,1789,Lakes & Tanks ,4.2,7.74,517.0,3.0,,,Less than  2,24,,,18.0,NIL,189.0,58.0,28.0,Less than 1,,350.0,44.0,17.0,20.2,35.0,296.0,,12.0,,Less than 0.01,6.0,0.88,,1.1,28.csv,1.5,,Less than 0.01,,0.24,,,,,,,,,,,,,,,,,Less than 1,BDL,BDL,BDL,ND,ND,BDL,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,April 2020,Hussain sagar Lake,1391,Lakes & Tanks ,6,7.7,1467.0,20.0,,,350,920,,,35.0,Less than 1,524.0,187.0,112.0,,,440.0,96.0,49.0,39.0,178.0,778.0,,20.0,,Less than 0.01,7.0,0.8,,3.7,28.csv,23.0,,0.71,,0.5,,,,,,,,,,,,,,,,,7,BDL,BDL,BDL,BDL,ND,BDL,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),May 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5,7.26,725.0,3.1,,,Less than 2,26,,,71.3,Less than 1,175.0,98.0,18.0,BDL,,259.0,79.0,15.0,43.0,67.91,442.0,,60.0,,Less than 0.01,11.04,0.25,35.0,1.83,29.csv,2.12,,Less than 0.01,,0.15,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,May 2020,Himayathsagar lake,1789,Lakes & Tanks ,4,7.5,536.0,2.5,,,Less than 2,12,,,9.82,Less than 1,165.0,61.0,16.0,BDL,,130.0,24.0,17.01,2.9,49.3,326.0,,24.0,,Less than 0.01,20.46,0.05,40.55,1.87,29.csv,2.12,,Less than 0.01,,0.19,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,May 2020,Hussain sagar Lake,1391,Lakes & Tanks ,3.3,7.67,1457.0,28.0,,,130,540,,,7.66,Less than 1,395.0,196.0,156.0,15.7,,312.0,64.0,37.0,52.0,213.8,903.0,,46.0,,Less than 0.01,20.21,Less than 0.01,57.75,5.24,29.csv,18.19,,0.09,,1.45,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),March 2018,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,River Musi,5.2,7.76,320.0,3.0,0.8,,NIL,20.0,,,6.4,0.0,100.0,30.0,26.0,Less than  1,,135.0,26.0,17.01,16.0,10.0,180.0,146.0,5.0,0.09,Less than 0.1,4.0,0.5,13.36,0.37,3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,March 2018,Hussain sagar Lake,1391,Lakes and Tanks,1.1,7.67,1567.0,12.0,11.2,,40,520.0,,,22.6,0.0,415.0,189.0,112.0,1.4,,460.0,96.0,53.46,118.0,160.0,965.0,776.0,72.0,8.44,Less than 0.1,14.0,1.45,41.98,3.23,3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,March 2018,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,Lakes and Tanks,5.5,7.97,350.0,2.0,0.5,,NIL,25.0,,,4.07,0.0,120.0,42.0,38.0,BDL,,140.0,22.0,20.66,4.0,20.0,211.0,172.0,3.0,0.12,Less than 0.1,4.0,0.52,22.92,0.73,3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),June 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,4,6.73,917.0,2.5,,,Less than 2,46,,,96.0,Less than 1,210.0,148.0,16.0,Less than 1,,200.0,50.0,18.22,36.0,95.0,550.0,,20.0,,Less than 0.01,11.0,0.1,48.99,2.91,30.csv,1.26,,Less than 0.01,,2.8,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,June 2020,Himayathsagar lake,1789,Lakes & Tanks ,4.1,7.2,602.0,2.6,,,Less than 2,40,,,49.6,Less than 1,240.0,64.0,18.0,Less than 1,,145.0,32.0,15.79,6.0,66.0,362.0,,22.0,,Less than 0.01,11.0,0.32,47.29,2.38,30.csv,0.83,,Less than 0.01,,0.9,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,June 2020,Hussain sagar Lake,1391,Lakes & Tanks ,3.6,7.36,1522.0,28.0,,,70,430,,,20.0,Less than 1,460.0,176.0,156.0,12.2,,350.0,78.0,37.66,63.0,253.0,914.0,,26.0,,Less than 0.01,20.0,0.23,59.29,5.86,30.csv,11.2,,0.01,,1.86,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),July 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.2,6.88,664.0,3.2,,,Less than 2,84,,,39.0,Less than 1,130.0,88.0,16.0,Less than 1,,190.0,34.0,25.52,80.0,61.0,410,,8.0,,Less than 0.01,7.0,0.81,39.83,1.92,31.csv,1.1,,Less than 0.01,,1.45,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,July 2020,Himayathsagar lake,1789,Lakes & Tanks ,5.2,7.52,449.0,2.8,,,Less than 2,70,,,23.0,Less than 1,125.0,74.0,16.0,Less than 1,,125.0,28.0,13.37,21.0,47.0,270,,6.0,,Less than 0.01,7.0,0.96,43.14,1.82,31.csv,1.18,,Less than 0.01,,1.51,,,,,,,,,,,,,,,,,Less than 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,July 2020,Hussain sagar Lake,1391,Lakes & Tanks ,3.6,7.57,1338.0,10,,,14,430,,,12.0,Less than 1,285.0,138.0,104.0,10,,360.0,72.0,43.74,83.0,145.0,760,,16.0,,Less than 0.01,13.0,1.33,45.41,3.31,31.csv,4.6,,Less than 0.01,,0.94,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),August 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,5.6,6.95,572.0,2.2,,,Less than 1.8,33,,,8.0,5.0,105.0,70.0,16.0,1.5,,125.0,28.0,13.37,54.0,62.0,343.0,,10.0,,0.5,5.0,1.07,50.5,2.4,32.csv,0.46,,Less than 0.01,,1.39,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,August 2020,Himayathsagar lake,1789,Lakes & Tanks ,6.1,7.61,369.0,2.1,,,Less than 1.8,26,,,8.0,5.0,70.0,50.0,14.0,1.5,,85.0,14.0,12.15,26.0,39.0,214.0,,12.0,,0.5,5.0,1.42,47.95,1.83,32.csv,0.29,,Less than 0.01,,0.87,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,August 2020,Hussain sagar Lake,1391,Lakes & Tanks ,2,7.41,1204.0,8.0,,,540,Greater than 1600,,,6.0,5.0,220.0,162.0,74.0,10.0,,255.0,56.0,27.95,78.0,129.0,688.0,,28.0,,0.5,8.0,1.42,51.26,3.5,32.csv,2.62,,0.05,,1.08,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),September 2020,U/s of Musi at Gandipet (Osmansagar lake),1172,Lakes & Tanks ,6.4,7.35,426.0,2.6,,,Less than 1.8,34,,,4.4,5.0,95.0,39.0,28.0,1.5,,115.0,24.0,13.37,32.0,41.0,245.0,,10.0,,0.5,4.0,1.01,42.45,1.66,33.csv,0.4,,Less than 0.01,,1.46,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,September 2020,Himayathsagar lake,1789,Lakes & Tanks ,6,7.68,402.0,2.4,,,Less than 1.8,25,,,10.4,5.0,115.0,24.0,18.0,1.5,,140.0,34.0,13.37,21.0,24.0,242.0,,10.0,,0.5,5.0,1.21,26.18,0.88,33.csv,0.4,,Less than 0.01,,0.96,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,September 2020,Hussain sagar Lake,1391,Lakes & Tanks ,2.4,7.69,1066.0,9.0,,,430,1600,,,10.8,5.0,165.0,26.0,72.0,4.0,,180.0,36.0,21.87,42.0,130.0,642.0,,18.0,,0.5,9.0,1.81,59.46,4.2,33.csv,2.59,,Less than 0.01,,1.12,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),October 2020,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,Lakes & Tanks ,6.7,7.49,356.0,2.1,,,Less than 1.8,21,,,4.8,5.0,85.0,32.0,,1.5,,90.0,30.0,3.65,20.0,26.0,207.0,,10.0,,0.5,4.0,0.96,,1.19,34.csv,1.5,27.0,Less than 0.01,,1.48,,,,,,,,,,,,,,,,,0.4,ND,BDL,BDL,ND,ND,BDL,BDL,,37.23,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himayat Sagar,October 2020,"Himayathsagar lake (BM-Jan, Apr & Oct)",1789,Lakes & Tanks ,7.5,7.67,272.0,2.1,,,Less than 1.8,12,,,10.8,5.0,80.0,34.0,,1.5,,110.0,28.0,9.72,12.0,19.0,182.0,,10.0,,0.5,2.0,1.0,,0.79,34.csv,1.4,22.0,Less than 0.01,,0.98,,,,,,,,,,,,,,,,,0.4,ND,BDL,BDL,ND,BDL,BDL,BDL,,26.76,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain Sagar,October 2020,Hussain sagar Lake,1391,Lakes & Tanks ,1.4,6.92,1086.0,10.0,,,240,1600,,,11.8,5.0,185.0,91.0,,1.5,,200.0,38.0,25.52,68.0,147.0,696.0,,10.0,,0.5,6.0,1.1,,4.5,34.csv,2.89,113.0,Less than 0.01,,1.14,,,,,,,,,,,,,,,,,0.4,ND,BDL,BDL,ND,BDL,BDL,BDL,,60.46,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osman Sagar (Gandipet),November 2020,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",1172,Lakes & Tanks ,6.5,7.86,322.0,2.2,,,Less than 1.8,11,,,3.8,5.0,90.0,34.0,16.0,1.5,,94.0,18.4,11.66,16.0,26.0,182.0,,10.0,,0.5,4.0,0.68,,0.8,35.csv,0.9,,Less than 0.01,,1.05,,,,,,,,,,,,,36.17,,,,0.4,,,,,,,,,,Less than 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
